CHROM	GENE	GENENAME	TRAIT	TRAITNAME	PVAL	LOG10P	FDR	P<1e-9	ANNOTATION
11	ENSG00000149577	SIDT2	p30870	Triglycerides	5.96E-09	8.22484	6.39E-05	0	RANDOM
19	ENSG00000130203	APOE	p30640	Apolipoprotein B	6.75E-09	8.17046	7.13E-05	0	RANDOM
19	ENSG00000104892	KLC3	p30640	Apolipoprotein B	7.46E-09	8.12715	7.75E-05	0	RANDOM
8	ENSG00000070718	AP3M2	p30260	Mean reticulocyte volume	8.90E-09	8.05075	9.10E-05	0	RANDOM
1	ENSG00000213085	CFAP45	p30710	C-reactive protein	1.18E-08	7.92629	0.0001192754312	0	RANDOM
16	ENSG00000162006	MSLNL	p30770	IGF-1	1.32E-08	7.88054	0.0001305180019	0	RANDOM
6	ENSG00000197238	H4C11	p30020	Haemoglobin concentration	1.38E-08	7.85989	0.000134830936	0	RANDOM
6	ENSG00000096654	ZNF184	p30020	Haemoglobin concentration	1.77E-08	7.75258	0.0001689760918	0	RANDOM
3	ENSG00000173230	GOLGB1	p30680	Calcium	1.78E-08	7.74908	0.0001689760918	0	RANDOM
12	ENSG00000110917	MLEC	p30710	C-reactive protein	1.88E-08	7.72488	0.0001761068756	0	RANDOM
6	ENSG00000180573	H2AC6	p30020	Haemoglobin concentration	2.32E-08	7.63511	0.0002134941618	0	RANDOM
9	ENSG00000106853	PTGR1	p30130	Monocyte count	2.45E-08	7.61078	0.000222659821	0	RANDOM
2	ENSG00000163795	ZNF513	p30870	Triglycerides	2.90E-08	7.53697	0.0002602924025	0	RANDOM
17	ENSG00000141736	ERBB2	p30140	Neutrophill count	3.44E-08	7.46307	0.0003044055963	0	RANDOM
6	ENSG00000189134	NKAPL	p30250	Reticulocyte count	3.85E-08	7.4146	0.0003358095855	0	RANDOM
6	ENSG00000124635	H2BC11	p30020	Haemoglobin concentration	3.93E-08	7.4057	0.0003382523011	0	RANDOM
6	ENSG00000135541	AHI1	p30080	Platelet count	4.21E-08	7.37598	0.0003575062403	0	RANDOM
16	ENSG00000162032	SPSB3	p30770	IGF-1	4.91E-08	7.30925	0.0004115378168	0	RANDOM
10	ENSG00000165995	CACNB2	p30650	Aspartate aminotransferase	5.59E-08	7.25289	0.0004594629532	0	RANDOM
6	ENSG00000197903	H2BC12	p30020	Haemoglobin concentration	5.65E-08	7.24758	0.0004594629532	0	RANDOM
6	ENSG00000197903	H2BC12	p30300	High light scatter reticulocyte count	5.71E-08	7.24302	0.0004594629532	0	RANDOM
6	ENSG00000196787	H2AC11	p30020	Haemoglobin concentration	5.76E-08	7.23969	0.0004594629532	0	RANDOM
9	ENSG00000136810	TXN	p30130	Monocyte count	6.01E-08	7.2213	0.0004735613606	0	RANDOM
6	ENSG00000135541	AHI1	p30090	Platelet crit	6.95E-08	7.15831	0.0005409598911	0	RANDOM
1	ENSG00000052723	SIKE1	p30110	Platelet distribution width	7.83E-08	7.10648	0.0006023590315	0	RANDOM
19	ENSG00000104853	CLPTM1	p30640	Apolipoprotein B	8.19E-08	7.08684	0.0006228965146	0	RANDOM
6	ENSG00000189134	NKAPL	p30300	High light scatter reticulocyte count	8.56E-08	7.06761	0.0006436134325	0	RANDOM
12	ENSG00000122966	CIT	p30710	C-reactive protein	8.71E-08	7.05994	0.0006476370411	0	RANDOM
12	ENSG00000089157	RPLP0	p30710	C-reactive protein	1.30E-07	6.88758	0.0009523231581	0	RANDOM
7	ENSG00000197093	GAL3ST4	p30250	Reticulocyte count	1.39E-07	6.85774	0.001008722813	0	RANDOM
1	ENSG00000177535	OR2B11	p30110	Platelet distribution width	1.58E-07	6.80256	0.001129903629	0	RANDOM
6	ENSG00000197903	H2BC12	p30250	Reticulocyte count	1.59E-07	6.79886	0.001129903629	0	RANDOM
6	ENSG00000196787	H2AC11	p30300	High light scatter reticulocyte count	1.61E-07	6.79423	0.001129903629	0	RANDOM
16	ENSG00000007376	RPUSD1	p30770	IGF-1	1.74E-07	6.76011	0.00120925112	0	RANDOM
3	ENSG00000114030	KPNA1	p30680	Calcium	1.81E-07	6.74125	0.001249627997	0	RANDOM
17	ENSG00000068097	HEATR6	p30130	Monocyte count	1.89E-07	6.72351	0.001288169817	0	RANDOM
8	ENSG00000078668	VDAC3	p30260	Mean reticulocyte volume	1.92E-07	6.71629	0.001290233389	0	RANDOM
7	ENSG00000166508	MCM7	p30250	Reticulocyte count	1.93E-07	6.71386	0.001290233389	0	RANDOM
11	ENSG00000168092	PAFAH1B2	p30870	Triglycerides	2.18E-07	6.66173	0.001440088418	0	RANDOM
9	ENSG00000096968	JAK2	p30090	Platelet crit	2.55E-07	6.59313	0.001664573507	0	RANDOM
6	ENSG00000112339	HBS1L	p30090	Platelet crit	2.57E-07	6.59013	0.001664573507	0	RANDOM
16	ENSG00000051108	HERPUD1	p30760	HDL Cholesterol	3.02E-07	6.51987	0.001933424098	0	RANDOM
12	ENSG00000110871	COQ5	p30710	C-reactive protein	3.04E-07	6.51659	0.001933424098	0	RANDOM
6	ENSG00000197903	H2BC12	p30290	High light scatter reticulocyte percentage	3.26E-07	6.48636	0.002049816823	0	RANDOM
1	ENSG00000153207	AHCTF1	p30110	Platelet distribution width	3.29E-07	6.48285	0.002049816823	0	RANDOM
6	ENSG00000185130	H2BC13	p30250	Reticulocyte count	3.55E-07	6.4501	0.002189517833	0	RANDOM
19	ENSG00000189114	BLOC1S3	p30640	Apolipoprotein B	3.78E-07	6.42217	0.00231313284	0	RANDOM
11	ENSG00000186318	BACE1	p30870	Triglycerides	3.85E-07	6.41425	0.002333891147	0	RANDOM
17	ENSG00000108423	TUBD1	p30190	Monocyte percentage	4.11E-07	6.38568	0.00246972077	0	RANDOM
6	ENSG00000185130	H2BC13	p30300	High light scatter reticulocyte count	4.21E-07	6.37531	0.002506407416	0	RANDOM
17	ENSG00000108443	RPS6KB1	p30190	Monocyte percentage	4.39E-07	6.35749	0.002578732712	0	RANDOM
1	ENSG00000196184	OR10J1	p30270	Mean sphered cell volume	4.41E-07	6.35513	0.002578732712	0	RANDOM
9	ENSG00000096968	JAK2	p30080	Platelet count	4.57E-07	6.33984	0.002647499633	0	RANDOM
12	ENSG00000170890	PLA2G1B	p30710	C-reactive protein	4.79E-07	6.31962	0.002735246756	0	RANDOM
1	ENSG00000184588	PDE4B	p30710	C-reactive protein	4.81E-07	6.31806	0.002735246756	0	RANDOM
6	ENSG00000233822	H2BC15	p30020	Haemoglobin concentration	4.94E-07	6.30642	0.002785328114	0	RANDOM
20	ENSG00000100997	ABHD12	p30720	Cystatin C	5.05E-07	6.297	0.002822074603	0	RANDOM
6	ENSG00000196787	H2AC11	p30250	Reticulocyte count	5.12E-07	6.29098	0.002824212629	0	RANDOM
3	ENSG00000004534	RBM6	p30290	High light scatter reticulocyte percentage	5.14E-07	6.28931	0.002824212629	0	RANDOM
12	ENSG00000088986	DYNLL1	p30710	C-reactive protein	5.88E-07	6.23056	0.003206366084	0	RANDOM
8	ENSG00000147408	CSGALNACT1	p30630	Apolipoprotein A	6.24E-07	6.20508	0.003372010993	0	RANDOM
6	ENSG00000124575	H1-3	p30020	Haemoglobin concentration	6.33E-07	6.19879	0.003393161427	0	RANDOM
6	ENSG00000233822	H2BC15	p30250	Reticulocyte count	6.39E-07	6.19483	0.003396403194	0	RANDOM
17	ENSG00000108389	MTMR4	p30190	Monocyte percentage	6.56E-07	6.18325	0.003421478434	0	RANDOM
3	ENSG00000004534	RBM6	p30300	High light scatter reticulocyte count	6.58E-07	6.18163	0.003421478434	0	RANDOM
6	ENSG00000168298	H1-4	p30020	Haemoglobin concentration	6.59E-07	6.18117	0.003421478434	0	RANDOM
6	ENSG00000197153	H3C12	p30120	Lymphocyte count	7.00E-07	6.15473	0.003580423364	0	RANDOM
6	ENSG00000135541	AHI1	p30010	Red blood cell count	7.00E-07	6.15461	0.003580423364	0	RANDOM
7	ENSG00000106615	RHEB	p30090	Platelet crit	7.53E-07	6.12344	0.003817021813	0	RANDOM
12	ENSG00000204842	ATXN2	p30090	Platelet crit	7.86E-07	6.10453	0.003956225153	0	RANDOM
12	ENSG00000276045	ORAI1	p30710	C-reactive protein	8.14E-07	6.08913	0.004067738785	0	RANDOM
1	ENSG00000010165	METTL13	p30110	Platelet distribution width	8.83E-07	6.05425	0.004350963537	0	RANDOM
6	ENSG00000197903	H2BC12	p30240	Reticulocyte percentage	8.92E-07	6.04946	0.004350963537	0	RANDOM
6	ENSG00000189134	NKAPL	p30240	Reticulocyte percentage	9.01E-07	6.04513	0.004350963537	0	RANDOM
19	ENSG00000099817	POLR2E	p30260	Mean reticulocyte volume	9.04E-07	6.04369	0.004350963537	0	RANDOM
7	ENSG00000197093	GAL3ST4	p30300	High light scatter reticulocyte count	9.04E-07	6.04363	0.004350963537	0	RANDOM
12	ENSG00000111252	SH2B3	p30090	Platelet crit	9.46E-07	6.02402	0.004508162393	0	RANDOM
3	ENSG00000075785	RAB7A	p30210	Eosinophill percentage	9.57E-07	6.019	0.004508162393	0	RANDOM
17	ENSG00000180340	FZD2	p30010	Red blood cell count	9.58E-07	6.01874	0.004508162393	0	RANDOM
12	ENSG00000167272	POP5	p30710	C-reactive protein	9.75E-07	6.01113	0.004555083226	0	RANDOM
9	ENSG00000107020	PLGRKT	p30080	Platelet count	1.02E-06	5.99069	0.004740730195	0	RANDOM
19	ENSG00000152467	ZSCAN1	p30110	Platelet distribution width	1.04E-06	5.98307	0.004790667261	0	RANDOM
17	ENSG00000141748	ARL5C	p30210	Eosinophill percentage	1.22E-06	5.91201	0.005602841214	0	RANDOM
6	ENSG00000189134	NKAPL	p30290	High light scatter reticulocyte percentage	1.25E-06	5.90152	0.00566625806	0	RANDOM
11	ENSG00000165916	PSMC3	p30210	Eosinophill percentage	1.26E-06	5.90109	0.00566625806	0	RANDOM
6	ENSG00000124575	H1-3	p30300	High light scatter reticulocyte count	1.28E-06	5.89249	0.005711984461	0	RANDOM
17	ENSG00000067191	CACNB1	p30210	Eosinophill percentage	1.28E-06	5.89165	0.005711984461	0	RANDOM
7	ENSG00000213413	PVRIG	p30110	Platelet distribution width	1.31E-06	5.88216	0.005798726649	0	RANDOM
3	ENSG00000169087	HSPBAP1	p30680	Calcium	1.35E-06	5.86828	0.005946865054	0	RANDOM
6	ENSG00000233822	H2BC15	p30300	High light scatter reticulocyte count	1.36E-06	5.86502	0.005951728243	0	RANDOM
3	ENSG00000233276	GPX1	p30290	High light scatter reticulocyte percentage	1.43E-06	5.84384	0.006173805186	0	RANDOM
6	ENSG00000185130	H2BC13	p30020	Haemoglobin concentration	1.44E-06	5.84082	0.006173805186	0	RANDOM
7	ENSG00000166508	MCM7	p30300	High light scatter reticulocyte count	1.44E-06	5.84051	0.006173805186	0	RANDOM
19	ENSG00000104885	DOT1L	p30260	Mean reticulocyte volume	1.46E-06	5.8368	0.006186337809	0	RANDOM
3	ENSG00000233276	GPX1	p30240	Reticulocyte percentage	1.51E-06	5.82168	0.006364182923	0	RANDOM
6	ENSG00000196812	ZSCAN16	p30250	Reticulocyte count	1.52E-06	5.81709	0.006390572316	0	RANDOM
6	ENSG00000196812	ZSCAN16	p30300	High light scatter reticulocyte count	1.56E-06	5.80797	0.006464385763	0	RANDOM
12	ENSG00000111252	SH2B3	p30080	Platelet count	1.56E-06	5.80657	0.006464385763	0	RANDOM
3	ENSG00000173200	PARP15	p30680	Calcium	1.67E-06	5.77715	0.006873963595	0	RANDOM
3	ENSG00000145103	ILDR1	p30680	Calcium	1.73E-06	5.76143	0.007082790065	0	RANDOM
1	ENSG00000116752	BCAS2	p30110	Platelet distribution width	1.77E-06	5.75138	0.00719182875	0	RANDOM
22	ENSG00000184436	THAP7	p30110	Platelet distribution width	1.78E-06	5.7494	0.00719182875	0	RANDOM
7	ENSG00000085514	PILRA	p30110	Platelet distribution width	1.82E-06	5.73976	0.007308138136	0	RANDOM
1	ENSG00000143653	SCCPDH	p30080	Platelet count	1.84E-06	5.73532	0.007338216219	0	RANDOM
12	ENSG00000089234	BRAP	p30090	Platelet crit	1.90E-06	5.72099	0.007451914801	0	RANDOM
12	ENSG00000111271	ACAD10	p30090	Platelet crit	1.90E-06	5.72099	0.007451914801	0	RANDOM
6	ENSG00000196787	H2AC11	p30290	High light scatter reticulocyte percentage	1.90E-06	5.72077	0.007451914801	0	RANDOM
12	ENSG00000111775	COX6A1	p30710	C-reactive protein	1.93E-06	5.7154	0.007499720361	0	RANDOM
1	ENSG00000177535	OR2B11	p30240	Reticulocyte percentage	2.02E-06	5.69394	0.007832991359	0	RANDOM
17	ENSG00000141741	MIEN1	p30210	Eosinophill percentage	2.06E-06	5.68529	0.007943564581	0	RANDOM
12	ENSG00000170855	TRIAP1	p30710	C-reactive protein	2.09E-06	5.68082	0.007978812175	0	RANDOM
3	ENSG00000004534	RBM6	p30240	Reticulocyte percentage	2.12E-06	5.67314	0.008073947203	0	RANDOM
12	ENSG00000257218	GATC	p30710	C-reactive protein	2.19E-06	5.66046	0.008265102597	0	RANDOM
19	ENSG00000125740	FOSB	p30640	Apolipoprotein B	2.24E-06	5.64943	0.008414759039	0	RANDOM
2	ENSG00000115232	ITGA4	p30130	Monocyte count	2.26E-06	5.64527	0.008414759039	0	RANDOM
9	ENSG00000107020	PLGRKT	p30090	Platelet crit	2.26E-06	5.6452	0.008414759039	0	RANDOM
11	ENSG00000168066	SF1	p30280	Immature reticulocyte fraction	2.33E-06	5.63253	0.008614916764	0	RANDOM
3	ENSG00000176020	AMIGO3	p30240	Reticulocyte percentage	2.36E-06	5.62713	0.008673699057	0	RANDOM
3	ENSG00000004534	RBM6	p30250	Reticulocyte count	2.40E-06	5.61947	0.008778722502	0	RANDOM
12	ENSG00000022840	RNF10	p30710	C-reactive protein	2.42E-06	5.61626	0.008794716551	0	RANDOM
1	ENSG00000177535	OR2B11	p30250	Reticulocyte count	2.47E-06	5.60669	0.00886488819	0	RANDOM
6	ENSG00000030110	BAK1	p30000	White blood cell count	2.47E-06	5.60651	0.00886488819	0	RANDOM
6	ENSG00000112812	PRSS16	p30250	Reticulocyte count	2.48E-06	5.60563	0.00886488819	0	RANDOM
3	ENSG00000164068	RNF123	p30240	Reticulocyte percentage	2.51E-06	5.5998	0.008935863561	0	RANDOM
12	ENSG00000089234	BRAP	p30080	Platelet count	2.77E-06	5.55778	0.009737812496	0	RANDOM
12	ENSG00000111271	ACAD10	p30080	Platelet count	2.77E-06	5.55778	0.009737812496	0	RANDOM
6	ENSG00000197238	H4C11	p30300	High light scatter reticulocyte count	2.98E-06	5.52636	0.0103675587	0	RANDOM
6	ENSG00000112812	PRSS16	p30300	High light scatter reticulocyte count	2.98E-06	5.52592	0.0103675587	0	RANDOM
7	ENSG00000165215	CLDN3	p30870	Triglycerides	3.00E-06	5.52231	0.01039878378	0	RANDOM
20	ENSG00000125968	ID1	p30720	Cystatin C	3.17E-06	5.49862	0.01092397635	0	RANDOM
12	ENSG00000135127	BICDL1	p30710	C-reactive protein	3.20E-06	5.4943	0.01097541586	0	RANDOM
6	ENSG00000180573	H2AC6	p30300	High light scatter reticulocyte count	3.23E-06	5.49051	0.01099580534	0	RANDOM
11	ENSG00000168065	SLC22A11	p30280	Immature reticulocyte fraction	3.24E-06	5.48897	0.01099580534	0	RANDOM
6	ENSG00000096654	ZNF184	p30120	Lymphocyte count	3.27E-06	5.4851	0.01103704014	0	RANDOM
3	ENSG00000176020	AMIGO3	p30290	High light scatter reticulocyte percentage	3.29E-06	5.48242	0.01104840894	0	RANDOM
6	ENSG00000112599	GUCA1B	p30270	Mean sphered cell volume	3.33E-06	5.4771	0.01107944806	0	RANDOM
3	ENSG00000164068	RNF123	p30290	High light scatter reticulocyte percentage	3.34E-06	5.47677	0.01107944806	0	RANDOM
3	ENSG00000233276	GPX1	p30300	High light scatter reticulocyte count	3.49E-06	5.45701	0.01153663525	0	RANDOM
19	ENSG00000105376	ICAM5	p30640	Apolipoprotein B	3.80E-06	5.42063	0.01248162917	0	RANDOM
3	ENSG00000173540	GMPPB	p30240	Reticulocyte percentage	3.93E-06	5.40585	0.01280820573	0	RANDOM
11	ENSG00000068831	RASGRP2	p30280	Immature reticulocyte fraction	3.93E-06	5.40507	0.01280820573	0	RANDOM
3	ENSG00000233276	GPX1	p30250	Reticulocyte count	3.98E-06	5.39988	0.01289801812	0	RANDOM
3	ENSG00000164077	MON1A	p30290	High light scatter reticulocyte percentage	4.06E-06	5.39173	0.01307760797	0	RANDOM
2	ENSG00000163811	WDR43	p30870	Triglycerides	4.16E-06	5.38081	0.013344865	0	RANDOM
12	ENSG00000135100	HNF1A	p30710	C-reactive protein	4.30E-06	5.36686	0.0136376037	0	RANDOM
1	ENSG00000153207	AHCTF1	p30080	Platelet count	4.31E-06	5.36507	0.0136376037	0	RANDOM
17	ENSG00000141736	ERBB2	p30200	Neutrophill percentage	4.34E-06	5.36287	0.0136376037	0	RANDOM
6	ENSG00000158691	ZSCAN12	p30300	High light scatter reticulocyte count	4.35E-06	5.36148	0.0136376037	0	RANDOM
19	ENSG00000007255	TRAPPC6A	p30640	Apolipoprotein B	4.36E-06	5.36087	0.0136376037	0	RANDOM
2	ENSG00000077044	DGKD	p30660	Direct bilirubin	4.51E-06	5.34538	0.01406549619	0	RANDOM
6	ENSG00000112812	PRSS16	p30000	White blood cell count	4.90E-06	5.30941	0.01511279351	0	RANDOM
7	ENSG00000106077	ABHD11	p30870	Triglycerides	4.91E-06	5.30853	0.01511279351	0	RANDOM
22	ENSG00000284130	TUBA3FP	p30110	Platelet distribution width	4.92E-06	5.30803	0.01511279351	0	RANDOM
3	ENSG00000196981	WDR5B	p30680	Calcium	4.96E-06	5.30473	0.01515690675	0	RANDOM
3	ENSG00000173540	GMPPB	p30290	High light scatter reticulocyte percentage	5.02E-06	5.29929	0.01527657133	0	RANDOM
22	ENSG00000099957	P2RX6	p30110	Platelet distribution width	5.09E-06	5.29298	0.01542838973	0	RANDOM
12	ENSG00000196850	PPTC7	p30090	Platelet crit	5.14E-06	5.28871	0.01550902936	0	RANDOM
6	ENSG00000124635	H2BC11	p30300	High light scatter reticulocyte count	5.20E-06	5.28417	0.0156001171	0	RANDOM
17	ENSG00000141736	ERBB2	p30180	Lymphocyte percentage	5.41E-06	5.26665	0.01616814656	0	RANDOM
2	ENSG00000163806	SPDYA	p30870	Triglycerides	5.49E-06	5.26051	0.01632381526	0	RANDOM
3	ENSG00000075785	RAB7A	p30150	Eosinophill count	5.53E-06	5.25747	0.01636409825	0	RANDOM
1	ENSG00000143653	SCCPDH	p30110	Platelet distribution width	5.69E-06	5.24494	0.0167636849	0	RANDOM
12	ENSG00000089094	KDM2B	p30710	C-reactive protein	5.71E-06	5.24308	0.0167636849	0	RANDOM
12	ENSG00000139352	ASCL1	p30770	IGF-1	5.81E-06	5.23563	0.01697156274	0	RANDOM
6	ENSG00000196787	H2AC11	p30240	Reticulocyte percentage	5.84E-06	5.23385	0.01697156274	0	RANDOM
6	ENSG00000158406	H4C8	p30020	Haemoglobin concentration	6.01E-06	5.22123	0.01739465874	0	RANDOM
3	ENSG00000164077	MON1A	p30300	High light scatter reticulocyte count	6.07E-06	5.21655	0.01750566023	0	RANDOM
3	ENSG00000176020	AMIGO3	p30250	Reticulocyte count	6.13E-06	5.21274	0.01758245462	0	RANDOM
3	ENSG00000114023	FAM162A	p30680	Calcium	6.26E-06	5.20352	0.01760971588	0	RANDOM
6	ENSG00000158691	ZSCAN12	p30250	Reticulocyte count	6.27E-06	5.20262	0.01760971588	0	RANDOM
6	ENSG00000197238	H4C11	p30250	Reticulocyte count	6.28E-06	5.20207	0.01760971588	0	RANDOM
6	ENSG00000124575	H1-3	p30250	Reticulocyte count	6.34E-06	5.19797	0.01760971588	0	RANDOM
16	ENSG00000179580	RNF151	p30760	HDL Cholesterol	6.35E-06	5.1974	0.01760971588	0	RANDOM
16	ENSG00000183751	TBL3	p30760	HDL Cholesterol	6.35E-06	5.1974	0.01760971588	0	RANDOM
17	ENSG00000141741	MIEN1	p30140	Neutrophill count	6.35E-06	5.19724	0.01760971588	0	RANDOM
6	ENSG00000197061	H4C3	p30300	High light scatter reticulocyte count	6.35E-06	5.19709	0.01760971588	0	RANDOM
9	ENSG00000136810	TXN	p30190	Monocyte percentage	6.43E-06	5.19176	0.01775194755	0	RANDOM
2	ENSG00000130561	SAG	p30660	Direct bilirubin	6.58E-06	5.1821	0.01807496209	0	RANDOM
3	ENSG00000164068	RNF123	p30250	Reticulocyte count	6.62E-06	5.17943	0.01811033364	0	RANDOM
6	ENSG00000180596	H2BC4	p30720	Cystatin C	6.65E-06	5.17691	0.01813982573	0	RANDOM
6	ENSG00000185130	H2BC13	p30010	Red blood cell count	6.73E-06	5.17187	0.0182754176	0	RANDOM
1	ENSG00000067334	DNTTIP2	p30190	Monocyte percentage	6.79E-06	5.1682	0.01835434903	0	RANDOM
